(Anonymous) Stat Unit ID;Expected work sectors;Hard Worker (0-5);weight;height;# of siblings;Main Interests;Main hobbies;Play some instruments? Which ones?;Sports;Would you like to maintain a YT channel ?;Dream Works;Priorities in Life;Country;Primary language(s);Secondary language(s);"Can this be a ""representative"" sample of larger populations ? If yes, which ones?";Do you think that looking at other answers is influencing your responses? Why?;;;;;;;;
1933420;cyber security ;4;;;;climbing;climbing;oboe;climbing;no;pentest;climbing;italy;italian;english;yes, computer science students;no;;;;;;;;
2141268;cyber security ;5;;;;Cybersecurity;Music, Videogames;Piano;Gym;maybe;Own IT Company;Personal Relantionships;Italy;italian;English;no, because all the units in this sample come mainly from the same course, tending to exaggerate the values compared to a larger population;no, they are purely personal;;;;;;;;
Cheza;Cybersecurity;4;58;1,66;;Cybersecurity, Software testing;Videogames, origami;Violin;a bit of volleyball and badminton;no;Pentester;Serenity, stability, free time for personal life;Italy;Italian;English;yes, a sample of the people of this course;no, but it may influence people, depending on the context;;;;;;;;
NisiOsiN;Cybersecurity;5;;;;Cybersecurity, Network;Hiking;No;-;No;Red Team;Family;Italy;Italian;English;No;Yes, partially, it gives ideas to fill the cells when nothing comes to mind ;;;;;;;;
1883018;Cybersecurity;4;;;;Cybersecurity;listening to Music, Sports;No;Gym;No;;Happiness, Health, Satisfaction;Italy;Italian;English;No;No, but I'm curious about;;;;;;;;
1946175;Cybersecurity;5;70;1,95;1;Cybersecurity;Music, cooking;Guitar;-;no;Cybersecurity engineer;Happiness;Italy;Italian;English;no;no;;;;;;;;
101023;Cybersecurity, ;4;77;1,9;;Cybersecurity, Privacy;movies, cooking, workout;no;-;no;CISO, manager,;Happiness, health, family, work;Italy;Italian;English;no;no;;;;;;;;
anonymousA;Cybersecurity, ;4;;;;Cybersecurity;music, movies, travelling;no;-;no;Cybersecurity engineer;Happiness, family, health;Italy;Italian;English, French;no;no;;;;;;;;
novaavon;Cybersecurity;4;;;;Computer science, Cybserscurity, Exploits, Vulnerabilties;Reading, Music, Eating;no;Gym;no;Presidente del Consiglio;Self-satisfaction;Italy;Italian;English;no;no;;;;;;;;
2117333;Cybersecurity;4;;;;Cybersecurity;gym, tennis, music;no;Gym;no;;Health and happiness;France;French;English;no;no;;;;;;;;
1957045;Cybersecurity;4;;;;Cybersecurity;listening to Music, Sports, reading;guitar, piano, ukulele;soccer;no;Traveller;Happiness, health, family, work;italy;italian;English;no;no;;;;;;;;
Francesco Totti;Cybersecurity;5;;;;Cybersecurity, AI;Football, music, cooking, watches, vacations;Guitar;football, judo;yes;Youtuber;Happiness, relationships, health, money;Croatia;Italian, Croatian;English;No;No but it's fun to read them;;;;;;;;
anon;Cybersecurity;4;;;;Cybersecurity, operating systmes;Trekking,comics,music,gaming;no;-;maybe;Cybersecurity related;Hapiness, health , hobbies;italy;Italian;English;no;no;;;;;;;;
Alessandro del Piero ;Cybersecurity ;3;;;;Cybersecurity ;Sport,music,gym,;Piano;Gym,calisthenics ;No;Network engineer ;MONEY;Italy;Italian;English;No;No;;;;;;;;
Lord Barty;Cybersecurity;4;73;1,77;0;Cybersecurity, OS;Gym, Music, Film, Videogames;no;Gym;yes;the important thing is that it doesn't bore me;Health;Italy;Italian;English;yes, a sample of IT students population;;;;;;;;;
Q;Cybersecurity;4;75;1,7;1;Computer science, physics, phylosophy;Gym, Books, Videogames;no;Gym;no;pentester;Money, Health, Family;Italy;italian;english;yes, if we condsider 20-30 years old students of STEM subjects as a population;no;;;;;;;;
1245;Cybersecurity;4;70;1,78;2;Cybersecurity, Networks;Music, Film, Sports;Guitar, piano ;-;no;;Health, Family;Italy;Italian;;no;no;;;;;;;;
The Duck;Cybersecurity;5;88;1,91;;Cybersecurity, Entrepreneurship, Network;Music, Sports, Cooking;No;Gym, Swimming, Football, Padel;maybe;Entrepreuner;Healt (physical and mental), Family, Friends, Serenity;Italy;Italian;English;No;Just for adding more ideas ;;;;;;;;
2126556;Cybersecurity;3;78;1,82;;Cybersecurity ;Motorbike, gym, surf;No;Gym, Basketball, Surf;No;CISO;Healt (physical and mental), Money, Family;Italy;Italian;English;No;Yes, partially ;;;;;;;;
4242564;Cybersecurity;4;79;1,8;;Cybersecurity;Gaming, cosplay;Bass, Guitar;Kudo Daido-Juku;maybe;Cybersecurity Manager/engineer;Health (physical and mental), Money, Family;Italy;Italian;English;No;no;;;;;;;;
21124334;Computer Science;4;90;1,9;0;IT, Embedded, Videogames AI;Gaming, sport;Piano;Gym;Maybe;Embedded Software Engineer;Happiness;Italy;Italian;English;Seems only cybersecurity students;No but it's fun to read them;;;;;;;;
Elem;Cybersecurity;5;62;1,7;;climbing;Swimming;no;Swim;No;Social Engineer;Happiness;Italy;Italian;English;No;No;;;;;;;;
1800;Cybersecurity;4;75;1,77;;IT, Networks, Cooking;Sports, Cooking,;Voice;Artistic Gymnastic, Gym;no;;Healt, Happiness, Money, Good Food;Italy;Italian;English;No;No;;;;;;;;
X;Cybersecurity;5;85;1,85;2;Cybersecurity, Videogames;Videogames, programming;No;-;No;Penetration tester;Health,  happiness;Italy;Italian;English;Yes, if we consider all Sapienza students as larger population ;No, i don't want to be influenced by others;;;;;;;;
